/* DATA DESCRIPTION:
Citation:	Holbourn, A et al. (2015): Miocene stable isotope record of benthic foraminifera from IODP Site 321-U1337. doi:10.1594/PANGAEA.839740, 
	In Supplement to: Holbourn, Ann; Kuhnt, Wolfgang; Kochhann, Karlos GD; Andersen, Nils; Meier, KJ Sebastian (2015): Global perturbation of the carbon cycle at the onset of the Miocene Climatic Optimum. Geology, 43(2), 123-126, doi:10.1130/G36317.1
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 3.833000 * LONGITUDE: -123.206000
	MINIMUM DEPTH, sediment/rock: 298.130 m * MAXIMUM DEPTH, sediment/rock: 404.930 m
Event(s):	321-U1337 * LATITUDE: 3.833000 * LONGITUDE: -123.206000 * ELEVATION: -4476.0 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment/rock is given in mbsf.
Parameter(s):	Sample code/label (Label) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, bottom/max [m] (Depth bot) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, composite top [mcd] (Depth c top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de)
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic d13C [per mil PDB] (Foram bent d13C) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6348 data points
*/
Label	Depth [m]	Depth top [m]	Depth bot [m]	Depth c top [mcd]	Age [ka BP]	Foram bent d13C [per mil PDB]	Foram bent d18O [per mil PDB]
321-U1337C-20X-6,52-54	325.330	325.32	325.34	361.82	16118	1.220	1.105
321-U1337C-20X-6,62-64	325.430	325.42	325.44	361.92	16124	1.291	1.325
321-U1337C-20X-6,72-74	325.530	325.52	325.54	362.02	16129	1.263	1.426
321-U1337C-20X-6,82-84	325.630	325.62	325.64	362.12	16135	1.388	1.506
321-U1337C-20X-7,4-6	325.850	325.84	325.86	362.34	16147	1.213	1.380
321-U1337C-20X-7,12-14	325.930	325.92	325.94	362.42	16152	1.305	1.281
321-U1337C-20X-7,24-26	326.050	326.04	326.06	362.54	16159	1.251	1.265
321-U1337C-20X-7,33-35	326.140	326.13	326.15	362.63	16164	1.204	1.181
321-U1337C-20X-7,47-49	326.280	326.27	326.29	362.77	16172	1.294	0.889
321-U1337C-20X-7,55-57	326.360	326.35	326.37	362.85	16176	1.484	1.106
321-U1337C-20X-7,61-63	326.420	326.41	326.43	362.91	16179	1.403	0.988
321-U1337A-36X-3,122-124	332.730	332.72	332.74	363.03	16186	1.166	1.456
321-U1337A-36X-3,132-134	332.830	332.82	332.84	363.13	16192	1.089	1.276
321-U1337A-36X-3,138-140	332.890	332.88	332.90	363.19	16195	1.195	1.341
321-U1337A-36X-4,2-4	333.030	333.02	333.04	363.33	16203	1.109	1.305
321-U1337A-36X-4,12-14	333.130	333.12	333.14	363.43	16208	1.250	1.220
321-U1337A-36X-4,22-24	333.230	333.22	333.24	363.53	16214	1.112	1.236
321-U1337A-36X-4,32-34	333.330	333.32	333.34	363.63	16220	1.075	1.166
321-U1337A-36X-4,42-44	333.430	333.42	333.44	363.73	16225	1.231	1.208
321-U1337A-36X-4,52-54	333.530	333.52	333.54	363.83	16231	1.325	1.284
321-U1337A-36X-4,62-64	333.630	333.62	333.64	363.93	16236	1.325	1.313
321-U1337A-36X-4,72-74	333.730	333.72	333.74	364.03	16242	1.241	1.100
321-U1337A-36X-4,82-84	333.830	333.82	333.84	364.13	16248	1.252	1.221
321-U1337A-36X-4,92-94	333.930	333.92	333.94	364.23	16253	1.226	1.148
321-U1337A-36X-4,102-104	334.030	334.02	334.04	364.33	16259	1.094	1.204
321-U1337A-36X-4,112-114	334.130	334.12	334.14	364.43	16265	1.114	1.379
321-U1337A-36X-4,122-124	334.230	334.22	334.24	364.53	16270	1.201	1.661
321-U1337A-36X-4,132-134	334.330	334.32	334.34	364.63	16276	1.227	1.320
321-U1337A-36X-4,142-144	334.430	334.42	334.44	364.73	16281	1.322	1.462
321-U1337A-36X-5,2-4	334.530	334.52	334.54	364.83	16287	1.335	1.396
321-U1337A-36X-5,12-14	334.630	334.62	334.64	364.93	16293	1.135	1.369
321-U1337A-36X-5,22-24	334.730	334.72	334.74	365.03	16298	1.301	1.280
321-U1337A-36X-5,32-34	334.830	334.82	334.84	365.13	16304	1.211	1.552
321-U1337A-36X-5,42-44	334.930	334.92	334.94	365.23	16310	1.144	1.313
321-U1337A-36X-5,52-54	335.030	335.02	335.04	365.33	16315	0.980	1.543
321-U1337A-36X-5,62-64	335.130	335.12	335.14	365.43	16321	0.999	1.358
321-U1337A-36X-5,72-74	335.230	335.22	335.24	365.53	16326	1.033	1.430
321-U1337A-36X-5,82-84	335.330	335.32	335.34	365.63	16332	0.999	1.390
321-U1337A-36X-5,92-94	335.430	335.42	335.44	365.73	16338	0.857	1.064
321-U1337C-21X-1,124-126	328.050	328.04	328.06	365.76	16339	0.981	0.904
321-U1337C-21X-1,131-133	328.120	328.11	328.13	365.83	16344	1.105	1.064
321-U1337C-21X-1,140-142	328.210	328.20	328.22	365.92	16351	1.209	1.082
321-U1337C-21X-2,1-3	328.320	328.31	328.33	366.03	16359	1.009	0.998
321-U1337C-21X-2,10-12	328.410	328.40	328.42	366.12	16366	0.921	0.865
321-U1337C-21X-2,21-22	328.520	328.51	328.53	366.23	16374	1.147	1.402
321-U1337C-21X-2,31-33	328.620	328.61	328.63	366.33	16381	1.212	1.499
321-U1337C-21X-2,42-44	328.730	328.72	328.74	366.44	16390	1.011	1.196
321-U1337C-21X-2,51-53	328.820	328.81	328.83	366.53	16396	1.054	1.124
321-U1337C-21X-2,61-63	328.920	328.91	328.93	366.63	16404	1.031	1.261
321-U1337C-21X-2,72-74	329.030	329.02	329.04	366.74	16412	1.191	1.005
321-U1337C-21X-2,82-84	329.130	329.12	329.14	366.84	16419	1.012	1.171
321-U1337C-21X-2,92-94	329.230	329.22	329.24	366.94	16427	1.002	1.260
321-U1337C-21X-2,102-104	329.330	329.32	329.34	367.04	16434	1.014	1.166
321-U1337C-21X-2,112-114	329.430	329.42	329.44	367.14	16442	1.133	1.074
321-U1337C-21X-2,122-124	329.530	329.52	329.54	367.24	16449	0.845	0.786
321-U1337C-21X-2,131-133	329.620	329.61	329.63	367.33	16456	0.755	0.655
321-U1337C-21X-2,140-142	329.710	329.70	329.72	367.42	16461	1.278	0.985
321-U1337C-21X-3,3-5	329.840	329.83	329.85	367.55	16469	1.218	1.225
321-U1337C-21X-3,13-15	329.940	329.93	329.95	367.65	16474	0.968	1.126
321-U1337C-21X-3,22-24	330.030	330.02	330.04	367.74	16480	1.022	1.190
321-U1337C-21X-3,33-35	330.140	330.13	330.15	367.85	16486	1.121	1.295
321-U1337C-21X-3,43-45	330.240	330.23	330.25	367.95	16492	1.152	1.223
321-U1337C-21X-3,53-55	330.340	330.33	330.35	368.05	16498	1.208	1.119
321-U1337C-21X-3,61-63	330.420	330.41	330.43	368.13	16502	1.103	1.047
321-U1337C-21X-3,72-74	330.530	330.52	330.54	368.24	16509	1.070	1.029
321-U1337C-21X-3,81-83	330.620	330.61	330.63	368.33	16514	1.011	0.996
321-U1337C-21X-3,89-91	330.700	330.69	330.71	368.41	16518	1.225	1.183
321-U1337C-21X-3,102-104	330.830	330.82	330.84	368.54	16526	1.155	1.214
321-U1337C-21X-3,111-113	330.920	330.91	330.93	368.63	16531	1.306	1.283
321-U1337C-21X-3,121-123	331.020	331.01	331.03	368.73	16537	1.252	0.911
321-U1337C-21X-3,132-134	331.130	331.12	331.14	368.84	16543	1.300	1.042
321-U1337C-21X-3,141-143	331.220	331.21	331.23	368.93	16548	1.144	1.041
321-U1337C-21X-4,4-6	331.350	331.34	331.36	369.06	16556	0.976	0.974
321-U1337C-21X-4,12-14	331.430	331.42	331.44	369.16	16562	1.012	1.302
321-U1337C-21X-4,20-22	331.510	331.50	331.52	369.24	16566	1.348	1.412
321-U1337C-21X-4,31-33	331.620	331.61	331.63	369.35	16573	1.393	1.446
321-U1337C-21X-4,42-44	331.730	331.72	331.74	369.46	16579	1.267	1.041
321-U1337C-21X-4,52-54	331.830	331.82	331.84	369.56	16585	1.257	1.101
321-U1337C-21X-4,62-64	331.930	331.92	331.94	369.66	16590	1.339	1.228
321-U1337C-21X-4,72-74	332.030	332.02	332.04	369.76	16596	1.302	1.080
321-U1337C-21X-4,82-84	332.130	332.12	332.14	369.86	16602	1.326	0.991
321-U1337C-21X-4,91-93	332.220	332.21	332.23	369.95	16607	1.367	1.035
321-U1337C-21X-4,101-103	332.320	332.31	332.33	370.05	16613	1.155	1.210
321-U1337C-21X-4,113-115	332.440	332.43	332.45	370.17	16620	1.361	1.491
321-U1337C-21X-4,122-124	332.530	332.52	332.54	370.26	16625	1.329	1.531
321-U1337C-21X-4,132-134	332.630	332.62	332.64	370.36	16631	1.293	1.553
321-U1337C-21X-4,140-142	332.710	332.70	332.72	370.44	16635	1.389	1.515
321-U1337C-21X-5,2-4	332.830	332.82	332.84	370.56	16642	1.370	1.454
321-U1337C-21X-5,12-14	332.930	332.92	332.94	370.66	16648	1.207	1.095
321-U1337C-21X-5,22-24	333.030	333.02	333.04	370.76	16654	0.954	1.027
321-U1337C-21X-5,32-34	333.130	333.12	333.14	370.86	16660	0.750	1.031
321-U1337C-21X-5,42-44	333.230	333.22	333.24	370.96	16665	0.986	1.347
321-U1337C-21X-5,50-52	333.310	333.30	333.32	371.04	16670	1.010	1.374
321-U1337C-21X-5,62-64	333.430	333.42	333.44	371.16	16677	0.994	1.297
321-U1337C-21X-5,72-74	333.530	333.52	333.54	371.26	16683	0.874	1.122
321-U1337A-37X-2,92-94	340.430	340.42	340.44	371.32	16686	0.914	1.541
321-U1337A-37X-2,102-104	340.530	340.52	340.54	371.42	16692	0.929	1.536
321-U1337A-37X-2,113-115	340.640	340.63	340.65	371.53	16698	0.906	1.459
321-U1337A-37X-2,122-124	340.730	340.72	340.74	371.62	16704	0.830	1.359
321-U1337A-37X-2,132-134	340.830	340.82	340.84	371.72	16709	0.798	1.178
321-U1337A-37X-2,144-146	340.950	340.94	340.96	371.82	16715	0.982	1.154
321-U1337A-37X-3,2-4	341.030	341.02	341.04	371.92	16721	1.022	1.285
321-U1337A-37X-3,12-14	341.130	341.12	341.14	372.02	16727	0.699	1.079
321-U1337A-37X-3,20-22	341.230	341.22	341.24	372.10	16731	0.607	1.025
321-U1337A-37X-3,30-32	341.330	341.32	341.34	372.20	16737	0.537	1.031
321-U1337A-37X-3,42-44	341.430	341.42	341.44	372.32	16744	0.511	1.203
321-U1337A-37X-3,52-54	341.530	341.52	341.54	372.42	16750	0.666	1.376
321-U1337A-37X-3,62-64	341.630	341.62	341.64	372.52	16755	0.813	1.431
321-U1337A-37X-3,72-74	341.730	341.72	341.74	372.62	16761	0.693	1.143
321-U1337A-37X-3,82-84	341.830	341.82	341.84	372.72	16767	0.776	1.047
321-U1337A-37X-3,91-93	341.920	341.91	341.93	372.81	16772	0.683	1.314
321-U1337A-37X-3,112-114	342.130	342.12	342.14	373.02	16784	0.687	1.123
321-U1337A-37X-3,123-125	342.240	342.23	342.25	373.13	16791	0.322	0.966
321-U1337A-37X-3,131-133	342.320	342.31	342.33	373.21	16795	0.795	1.485
321-U1337A-37X-3,139-141	342.400	342.39	342.41	373.29	16800	0.775	1.295
321-U1337A-37X-4,2-4	342.530	342.52	342.54	373.42	16807	0.619	0.744
321-U1337A-37X-4,11-13	342.620	342.61	342.63	373.51	16813	0.829	1.096
321-U1337A-37X-4,24-26	342.750	342.74	342.76	373.64	16821	0.887	1.358
321-U1337A-37X-4,33-35	342.840	342.83	342.85	373.73	16826	0.691	1.148
321-U1337A-37X-4,41-43	342.920	342.91	342.93	373.81	16831	0.638	1.259
321-U1337A-37X-4,51-53	343.020	343.01	343.03	373.91	16837	0.635	1.221
321-U1337A-37X-4,62-64	343.130	343.12	343.14	374.02	16844	0.721	1.258
321-U1337A-37X-4,72-74	343.230	343.22	343.24	374.12	16850	0.742	1.311
321-U1337A-37X-4,80-82	343.310	343.30	343.32	374.20	16855	0.381	0.898
321-U1337A-37X-4,92-94	343.430	343.42	343.44	374.32	16863	0.623	1.306
321-U1337A-37X-4,104-106	343.550	343.54	343.56	374.44	16870	0.785	1.248
321-U1337A-37X-4,112-114	343.630	343.62	343.64	374.52	16875	0.468	1.063
321-U1337A-37X-4,122-124	343.730	343.72	343.74	374.62	16881	0.653	1.021
321-U1337A-37X-4,132-134	343.830	343.82	343.84	374.72	16887	0.681	0.997
321-U1337A-37X-4,142-144	343.930	343.92	343.94	374.82	16894	0.579	0.867
321-U1337A-37X-5,2-4	344.030	344.02	344.04	374.92	16900	0.550	1.185
321-U1337A-37X-5,12-14	344.130	344.12	344.14	375.02	16905	0.795	1.192
321-U1337A-37X-5,22-24	344.230	344.22	344.24	375.12	16911	0.870	1.311
321-U1337A-37X-5,31-33	344.320	344.31	344.33	375.21	16916	0.870	1.324
321-U1337A-37X-5,44-46	344.450	344.44	344.46	375.34	16923	0.941	1.084
321-U1337A-37X-5,52-54	344.530	344.52	344.54	375.42	16928	1.003	1.513
321-U1337A-37X-5,62-64	344.630	344.62	344.64	375.52	16934	0.921	1.601
321-U1337A-37X-5,71-73	344.720	344.71	344.73	375.61	16939	0.973	1.523
321-U1337A-37X-5,79-81	344.800	344.79	344.81	375.69	16944	1.044	1.693
321-U1337A-37X-5,93-95	344.940	344.93	344.95	375.83	16952	0.788	1.526
321-U1337A-37X-5,102-104	345.030	345.02	345.04	375.92	16958	0.836	1.696
321-U1337A-37X-5,113-115	345.140	345.13	345.15	376.03	16964	0.843	1.948
321-U1337A-37X-5,123-125	345.240	345.23	345.25	376.13	16970	0.883	1.860
321-U1337A-37X-5,131-133	345.320	345.31	345.33	376.21	16975	0.796	1.721
321-U1337A-37X-5,140-142	345.410	345.40	345.42	376.30	16980	0.954	1.799
321-U1337A-37X-6,2-4	345.530	345.52	345.54	376.42	16988	0.850	1.627
321-U1337A-37X-6,14-16	345.650	345.64	345.66	376.54	16995	0.784	1.622
321-U1337A-37X-6,22-24	345.730	345.72	345.74	376.62	17000	0.665	1.608
321-U1337A-37X-6,32-34	345.830	345.82	345.84	376.72	17006	0.803	1.600
321-U1337A-37X-6,42-44	345.930	345.92	345.94	376.82	17012	0.820	1.611
321-U1337A-37X-6,52-54	346.030	346.02	346.04	376.92	17018	0.865	1.682
321-U1337C-22X-2,73-75	338.640	338.63	338.65	377.03	17024	0.958	1.627
321-U1337C-22X-2,82-84	338.730	338.72	338.74	377.12	17030	0.860	1.613
321-U1337C-22X-2,92-94	338.830	338.82	338.84	377.22	17036	0.860	1.537
321-U1337C-22X-2,104-106	338.950	338.94	338.96	377.34	17043	0.945	1.803
321-U1337C-22X-2,111-113	339.020	339.01	339.03	377.41	17047	0.880	1.521
321-U1337C-22X-2,123-125	339.140	339.13	339.15	377.53	17054	0.827	1.450
321-U1337C-22X-2,131-133	339.220	339.21	339.23	377.61	17059	0.854	1.684
321-U1337C-22X-2,142-144	339.330	339.32	339.34	377.72	17066	0.820	1.654
321-U1337C-22X-3,2-4	339.430	339.42	339.44	377.82	17072	0.922	1.862
321-U1337C-22X-3,12-14	339.530	339.52	339.54	377.92	17078	0.872	1.472
321-U1337C-22X-3,22-24	339.630	339.62	339.64	378.02	17084	0.905	1.446
321-U1337C-22X-3,32-34	339.730	339.72	339.74	378.12	17090	0.582	1.308
321-U1337C-22X-3,41-43	339.820	339.81	339.83	378.21	17095	0.589	0.843
321-U1337C-22X-3,51-53	339.920	339.91	339.93	378.31	17100	0.772	1.671
321-U1337C-22X-3,62-64	340.030	340.02	340.04	378.42	17105	0.684	1.371
321-U1337C-22X-3,72-74	340.130	340.12	340.14	378.52	17110	0.549	1.177
321-U1337C-22X-3,82-84	340.230	340.22	340.24	378.62	17115	0.910	1.694
321-U1337C-22X-3,92-94	340.330	340.32	340.34	378.72	17120	0.733	1.523
321-U1337C-22X-3,104-106	340.450	340.44	340.46	378.84	17126	0.771	1.549
321-U1337C-22X-3,112-114	340.530	340.52	340.54	378.92	17130	0.958	1.795
321-U1337C-22X-3,122-124	340.630	340.62	340.64	379.02	17135	0.993	1.804
321-U1337C-22X-3,133-135	340.740	340.73	340.75	379.13	17141	0.926	1.537
321-U1337C-22X-3,142-144	340.830	340.82	340.84	379.22	17145	0.858	1.468
321-U1337C-22X-4,2-4	340.930	340.92	340.94	379.32	17150	0.894	1.665
321-U1337C-22X-4,12-14	341.030	341.02	341.04	379.42	17155	0.860	1.808
321-U1337C-22X-4,22-24	341.130	341.12	341.14	379.52	17160	0.879	1.645
321-U1337C-22X-4,32-34	341.230	341.22	341.24	379.62	17165	0.838	1.639
321-U1337C-22X-4,42-45	341.335	341.32	341.35	379.72	17170	0.735	1.548
321-U1337C-22X-4,52-54	341.430	341.42	341.44	379.82	17175	0.853	1.547
321-U1337C-22X-4,59-61	341.500	341.49	341.51	379.89	17178	0.709	1.699
321-U1337C-22X-4,73-75	341.640	341.63	341.65	380.03	17185	0.674	1.368
321-U1337C-22X-4,82-84	341.730	341.72	341.74	380.12	17189	0.592	1.256
321-U1337C-22X-4,92-94	341.830	341.82	341.84	380.22	17194	0.843	1.823
321-U1337C-22X-4,102-104	341.930	341.92	341.94	380.32	17199	0.821	1.395
321-U1337D-39X-2,122-124	345.930	345.92	345.94	380.36	17201	0.890	1.630
321-U1337D-39X-2,132-134	346.030	346.02	346.04	380.46	17206	0.810	1.520
321-U1337D-39X-2,142-144	346.130	346.12	346.14	380.56	17210	0.650	1.690
321-U1337D-39X-3,2-4	346.230	346.22	346.24	380.66	17215	0.900	1.840
321-U1337D-39X-3,12-14	346.330	346.32	346.34	380.76	17220	0.850	1.780
321-U1337D-39X-3,22-24	346.430	346.42	346.44	380.86	17225	0.870	1.810
321-U1337D-39X-3,32-34	346.530	346.52	346.54	380.96	17230	0.800	1.720
321-U1337D-39X-3,42-44	346.630	346.62	346.64	381.06	17234	0.730	1.760
321-U1337D-39X-3,52-54	346.730	346.72	346.74	381.16	17239	0.750	1.650
321-U1337D-39X-3,62-64	346.830	346.82	346.84	381.26	17244	0.750	1.580
321-U1337D-39X-3,72-74	346.930	346.92	346.94	381.36	17249	0.740	1.630
321-U1337D-39X-3,82-84	347.030	347.02	347.04	381.46	17253	0.850	1.680
321-U1337D-39X-3,92-94	347.130	347.12	347.14	381.56	17258	0.730	1.570
321-U1337D-39X-3,102-104	347.230	347.22	347.24	381.66	17263	0.580	1.540
321-U1337D-39X-3,112-114	347.330	347.32	347.34	381.76	17268	0.770	1.530
321-U1337D-39X-3,122-124	347.430	347.42	347.44	381.86	17272	0.690	1.650
321-U1337D-39X-3,132-134	347.530	347.52	347.54	381.96	17277	0.740	1.540
321-U1337D-39X-3,142-144	347.630	347.62	347.64	382.06	17282	0.710	1.390
321-U1337D-39X-4,2-4	347.730	347.72	347.74	382.16	17287	0.760	1.320
321-U1337D-39X-4,12-14	347.830	347.82	347.84	382.26	17291	0.730	1.100
321-U1337D-39X-4,22-24	347.930	347.92	347.94	382.36	17296	0.430	1.010
321-U1337D-39X-4,32-34	348.030	348.02	348.04	382.46	17301	0.330	0.980
321-U1337D-39X-4,42-44	348.130	348.12	348.14	382.56	17306	0.500	1.370
321-U1337D-39X-4,52-54	348.230	348.22	348.24	382.66	17310	0.890	1.940
321-U1337D-39X-4,62-64	348.330	348.32	348.34	382.76	17315	0.990	1.840
321-U1337D-39X-4,72-74	348.430	348.42	348.44	382.86	17320	0.970	1.610
321-U1337D-39X-4,82-84	348.530	348.52	348.54	382.96	17324	1.050	1.680
321-U1337D-39X-4,92-94	348.630	348.62	348.64	383.06	17329	1.090	1.850
321-U1337D-39X-4,102-104	348.730	348.72	348.74	383.16	17334	1.110	1.830
321-U1337D-39X-4,112-114	348.830	348.82	348.84	383.26	17338	0.990	1.730
321-U1337D-39X-4,122-124	348.930	348.92	348.94	383.36	17343	0.820	1.560
321-U1337D-39X-4,132-134	349.030	349.02	349.04	383.46	17348	0.800	1.690
321-U1337D-39X-4,142-144	349.130	349.12	349.14	383.56	17352	0.830	1.820
321-U1337D-39X-5,2-4	349.230	349.22	349.24	383.66	17357	0.700	1.880
321-U1337D-39X-5,12-14	349.330	349.32	349.34	383.76	17362	0.840	1.880
321-U1337D-39X-5,22-24	349.430	349.42	349.44	383.86	17366	0.600	1.800
321-U1337D-39X-5,32-34	349.530	349.52	349.54	383.96	17371	0.850	1.900
321-U1337D-39X-5,42-44	349.630	349.62	349.64	384.06	17376	0.600	1.670
321-U1337D-39X-5,52-54	349.730	349.72	349.74	384.16	17380	0.590	1.450
321-U1337D-39X-5,62-64	349.830	349.82	349.84	384.26	17385	0.640	1.450
321-U1337D-39X-5,72-74	349.930	349.92	349.94	384.36	17390	0.630	1.530
321-U1337D-39X-5,82-84	350.030	350.02	350.04	384.46	17394	0.790	1.760
321-U1337D-39X-5,92-94	350.130	350.12	350.14	384.56	17399	0.480	1.350
321-U1337D-39X-5,102-104	350.230	350.22	350.24	384.66	17404	0.330	1.260
321-U1337D-39X-5,112-114	350.330	350.32	350.34	384.76	17408	0.520	1.410
321-U1337C-23X-1,72-74	346.730	346.72	346.74	384.85	17413	0.610	1.580
321-U1337C-23X-1,82-84	346.830	346.82	346.84	384.95	17417	0.607	1.507
321-U1337C-23X-1,92-94	346.930	346.92	346.94	385.05	17422	0.697	1.798
321-U1337C-23X-1,100-102	347.010	347.00	347.02	385.13	17426	0.851	1.887
321-U1337C-23X-1,110-112	347.110	347.10	347.12	385.23	17430	0.715	1.536
321-U1337C-23X-1,122-124	347.230	347.22	347.24	385.35	17436	0.574	1.478
321-U1337C-23X-1,132-134	347.330	347.32	347.34	385.45	17441	0.734	1.854
321-U1337C-23X-1,141-143	347.420	347.41	347.43	385.54	17445	0.623	1.559
321-U1337C-23X-2,2-4	347.530	347.52	347.54	385.65	17450	0.713	1.315
321-U1337C-23X-2,13-15	347.640	347.63	347.65	385.76	17455	0.420	1.340
321-U1337C-23X-2,22-24	347.730	347.72	347.74	385.85	17458	0.846	1.227
321-U1337C-23X-2,29-31	347.800	347.79	347.81	385.92	17461	0.878	1.521
321-U1337C-23X-2,41-43	347.920	347.91	347.93	386.04	17465	0.692	1.701
321-U1337C-23X-2,52-54	348.030	348.02	348.04	386.15	17470	0.528	1.423
321-U1337C-23X-2,62-64	348.130	348.12	348.14	386.25	17473	0.625	1.857
321-U1337C-23X-2,68-70	348.190	348.18	348.20	386.31	17475	0.678	1.898
321-U1337C-23X-2,78-80	348.290	348.28	348.30	386.41	17479	0.786	1.662
321-U1337C-23X-2,88-90	348.390	348.38	348.40	386.51	17483	0.846	1.724
321-U1337C-23X-2,101-103	348.520	348.51	348.53	386.64	17488	0.681	1.425
321-U1337C-23X-2,111-113	348.620	348.61	348.63	386.74	17492	0.632	1.553
321-U1337C-23X-2,121-123	348.720	348.71	348.73	386.84	17495	0.565	1.433
321-U1337C-23X-2,131-133	348.820	348.81	348.83	386.94	17499	0.595	1.447
321-U1337C-23X-2,142-144	348.930	348.92	348.94	387.05	17503	0.312	1.171
321-U1337C-23X-3,2-4	349.030	349.02	349.04	387.15	17507	0.556	1.744
321-U1337C-23X-3,12-14	349.130	349.12	349.14	387.25	17511	0.708	1.603
321-U1337C-23X-3,22-24	349.230	349.22	349.24	387.35	17514	0.687	1.410
321-U1337C-23X-3,32-34	349.330	349.32	349.34	387.45	17518	0.637	1.406
321-U1337C-23X-3,42-44	349.430	349.42	349.44	387.55	17522	0.708	1.662
321-U1337C-23X-3,52-54	349.530	349.52	349.54	387.65	17525	0.487	1.374
321-U1337C-23X-3,62-64	349.630	349.62	349.64	387.75	17529	0.695	1.461
321-U1337C-23X-3,72-74	349.730	349.72	349.74	387.85	17533	0.582	1.273
321-U1337C-23X-3,82-84	349.830	349.82	349.84	387.95	17537	0.647	1.555
321-U1337C-23X-3,92-94	349.930	349.92	349.94	388.05	17540	0.609	1.687
321-U1337C-23X-3,102-104	350.030	350.02	350.04	388.15	17544	0.552	1.590
321-U1337C-23X-3,112-114	350.130	350.12	350.14	388.25	17548	0.777	1.720
321-U1337C-23X-3,122-124	350.230	350.22	350.24	388.35	17551	0.749	1.392
321-U1337C-23X-3,132-134	350.330	350.32	350.34	388.45	17555	0.614	1.414
321-U1337C-23X-3,142-144	350.430	350.42	350.44	388.55	17559	0.571	1.347
321-U1337C-23X-4,2-4	350.530	350.52	350.54	388.65	17563	0.438	1.536
321-U1337C-23X-4,12-14	350.630	350.62	350.64	388.75	17566	0.580	1.520
321-U1337C-23X-4,22-24	350.730	350.72	350.74	388.85	17570	0.258	1.133
321-U1337C-23X-4,32-34	350.830	350.82	350.84	388.95	17574	0.426	1.162
321-U1337C-23X-4,42-44	350.930	350.92	350.94	389.05	17578	0.384	1.250
321-U1337C-23X-4,52-54	351.030	351.02	351.04	389.15	17581	0.433	1.293
321-U1337C-23X-4,62-64	351.130	351.12	351.14	389.25	17585	0.374	1.134
321-U1337C-23X-4,72-74	351.230	351.22	351.24	389.35	17591	0.554	1.413
321-U1337C-23X-4,82-84	351.330	351.32	351.34	389.45	17596	0.560	1.810
321-U1337C-23X-4,92-94	351.430	351.42	351.44	389.55	17602	0.423	1.952
321-U1337C-23X-4,102-104	351.530	351.52	351.54	389.65	17608	0.569	1.621
321-U1337D-40X-2,32-34	354.630	354.62	354.64	389.66	17608	0.520	1.680
321-U1337D-40X-2,42-44	354.730	354.72	354.74	389.76	17614	0.560	1.550
321-U1337D-40X-2,52-54	354.830	354.82	354.84	389.86	17620	0.590	1.290
321-U1337D-40X-2,62-64	354.930	354.92	354.94	389.96	17626	0.280	1.370
321-U1337D-40X-2,72-74	355.030	355.02	355.04	390.06	17631	0.350	1.640
321-U1337D-40X-2,82-84	355.130	355.12	355.14	390.16	17637	0.240	1.650
321-U1337D-40X-2,92-94	355.230	355.22	355.24	390.26	17643	0.140	1.450
321-U1337D-40X-2,102-104	355.330	355.32	355.34	390.36	17648	0.330	1.380
321-U1337D-40X-2,112-114	355.430	355.42	355.44	390.46	17654	0.340	1.380
321-U1337D-40X-2,122-124	355.530	355.52	355.54	390.56	17660	0.000	1.090
321-U1337D-40X-2,132-134	355.630	355.62	355.64	390.66	17668	-0.040	1.100
321-U1337D-40X-2,142-144	355.730	355.72	355.74	390.76	17676	0.450	1.620
321-U1337D-40X-3,2-4	355.830	355.82	355.84	390.86	17685	0.390	1.340
321-U1337D-40X-3,12-14	355.930	355.92	355.94	390.96	17694	0.520	1.370
321-U1337D-40X-3,22-24	356.030	356.02	356.04	391.06	17702	0.540	1.360
321-U1337D-40X-3,32-34	356.130	356.12	356.14	391.16	17711	0.680	1.640
321-U1337D-40X-3,42-44	356.230	356.22	356.24	391.26	17719	0.680	1.710
321-U1337D-40X-3,52-54	356.330	356.32	356.34	391.36	17728	0.660	1.780
321-U1337D-40X-3,62-64	356.430	356.42	356.44	391.46	17736	0.650	1.730
